Наименование,Тип,Индекс,Административный округ,Район
1 Маевки,аллея,111395,Восточный административный округ,район Вешняки
1 мая,ул,124365,Зеленоградский административный округ,район Крюково
1-й,пр-кт,111396,Восточный административный округ,район Ивановское
1-й Автозаводский,проезд,115280,Южный административный округ,Даниловский район
1-й Амбулаторный,проезд,125315,Северный административный округ,район Аэропорт
1-й Архивный,пер,119048,Центральный административный округ,район Хамовники
1-й Бабьегородский,пер,119049,Центральный административный округ,район Якиманка
1-й Балтийский,пер,125315,Северный административный округ,район Аэропорт
1-й Басманный,пер,,Центральный административный округ,Красносельский район
1-й Белокаменный,проезд,107564,Восточный административный округ,район Богородское
1-й Богучарский,пер,117624,Юго-Западный административный округ,район Южное Бутово
1-й Ботанический,проезд,129323,Северо-Восточный административный округ,район Свиблово
1-й Боткинский,проезд,125284,Северный административный округ,Беговой район
1-й Брянский,пер,121059,Центральный административный округ,Тверской район
1-й Варшавский,проезд,115201,Южный административный округ,район Москворечье-Сабурово
1-й Верхний Михайловский,проезд,115419,Южный административный округ,Донской район
1-й Вешняковский,проезд,109456,Юго-Восточный административный округ,Рязанский район
1-й Войковский,проезд,125171,Северный административный округ,Войковский район
1-й Волконский,пер,127473,Центральный административный округ,Тверской район
1-й Волоколамский,проезд,123060,Северо-Западный административный округ,район Щукино
1-й Вражский,пер,119121,Центральный административный округ,район Хамовники
1-й Вышеславцев,пер,127018,Северо-Восточный административный округ,район Марьина роща
1-й Вязовский,проезд,109428,Юго-Восточный административный округ,Рязанский район
1-й Голутвинский,пер,119180,Центральный административный округ,район Якиманка
1-й Гончарный,пер,115172,Центральный административный округ,Таганский район
1-й Гончаровский,пер,127254,Северо-Восточный административный округ,Бутырский район
1-й Грайвороновский,проезд,109518,Юго-Восточный административный округ,район Текстильщики
1-й Дачно-Мещерский,проезд,119618,Западный административный округ,район Солнцево
1-й Дербеневский,пер,115114,Южный административный округ,Даниловский район
1-й Добрынинский,пер,119049,Центральный административный округ,район Замоскворечье
1-й Донской,проезд,115419,Южный административный округ,Донской район
1-й Дорожный,проезд,117545,Южный административный округ,район Чертаново Центральное
1-й Дубровский,проезд,,Юго-Восточный административный округ,Южнопортовый район
1-й Зачатьевский,пер,119034,Центральный административный округ,район Хамовники
1-й Зборовский,пер,107076,Восточный административный округ,район Преображенское
1-й Земельный,пер,123022,Центральный административный округ,Пресненский район
1-й Измайловского Зверинца,пер,105187,Восточный административный округ,район Измайлово
1-й Институтский,проезд,109428,Юго-Восточный административный округ,Рязанский район
1-й Ирининский,пер,105082,Центральный административный округ,Басманный район
1-й Иртышский,проезд,107143,Восточный административный округ,район Гольяново
1-й Кабельный,проезд,111024,Юго-Восточный административный округ,район Лефортово
1-й Кадашёвский,пер,115035,Центральный административный округ,район Якиманка
1-й Казанский,просек,109428,Юго-Восточный административный округ,Рязанский район
1-й Казачий,пер,115184,Центральный административный округ,район Якиманка
1-й Капотнинский,проезд,109429,Юго-Восточный административный округ,район Капотня
1-й Капотня,кв-л,109429,Юго-Восточный административный округ,район Капотня
1-й Карачаровский,проезд,109202,Юго-Восточный административный округ,Нижегородский район
1-й Кирпичный,пер,105118,Восточный административный округ,район Соколиная Гора
1-й Кожевнический,пер,115114,Южный административный округ,Даниловский район
1-й Кожуховский,проезд,115280,Южный административный округ,Даниловский район
1-й Колобовский,пер,127051,Центральный административный округ,Тверской район
1-й Коптельский,пер,129090,Центральный административный округ,Мещанский район
1-й Котельнический,пер,109240,Центральный административный округ,Таганский район
1-й Котляковский,пер,115201,Южный административный округ,район Москворечье-Сабурово
1-й Красковский,проезд,111675,Восточный административный округ,район Косино-Ухтомский
1-й Красногвардейский,проезд,,Центральный административный округ,Пресненский район
1-й Красногорский,проезд,,Северо-Западный административный округ,район Щукино
1-й Краснокурсантский,проезд,,Юго-Восточный административный округ,район Лефортово
1-й Красносельский,пер,107140,Центральный административный округ,Красносельский район
1-й Крутицкий,пер,109044,Юго-Восточный административный округ,Южнопортовый район
1-й Курьяновский,проезд,109235,Юго-Восточный административный округ,район Печатники
1-й Леонова,проезд,129226,Северо-Восточный административный округ,район Ростокино
1-й Лесной,пер,125047,Центральный административный округ,Тверской район
1-й Лихачёвский,пер,125438,Северный административный округ,Головинский район
1-й Лучевой,просек,107113,Восточный административный округ,район Сокольники
1-й Лыковский,проезд,123458,Северо-Западный административный округ,район Строгино
1-й Люберецкий,проезд,109153,Юго-Восточный административный округ,район Выхино-Жулебино
1-й Люсиновский,пер,119049,Центральный административный округ,район Замоскворечье
1-й Магистральный,проезд,123290,Северный административный округ,Хорошевский район
1-й Магистральный,туп,123290,Северный административный округ,Хорошевский район
1-й Марьиной Рощи,проезд,129594,Северо-Восточный административный округ,район Марьина роща
1-й Миргородский,пер,117042,Юго-Западный административный округ,район Южное Бутово
1-й Митинский,пер,,Северо-Западный административный округ,район Митино
1-й Можайский,туп,121059,Западный административный округ,район Дорогомилово
1-й Монетчиковский,пер,115054,Центральный административный округ,район Замоскворечье
1-й Нагатинский,проезд,,Южный административный округ,район Нагатино-Садовники
1-й Неопалимовский,пер,119121,Центральный административный округ,район Хамовники
1-й Нижнелихоборский,проезд,127238,Северный административный округ,Тимирязевский район
1-й Нижний Михайловский,проезд,115191,Южный административный округ,Даниловский район
1-й Николощеповский,пер,121099,Центральный административный округ,район Арбат
1-й Новокузнецкий,пер,115184,Центральный административный округ,район Замоскворечье
1-й Новомихалковский,проезд,125008,Северный административный округ,район Коптево
1-й Новоподмосковный,пер,125171,Северный административный округ,Войковский район
1-й Новотихвинский,пер,127018,Северо-Восточный административный округ,район Марьина роща
1-й Новый,пер,107140,Центральный административный округ,Красносельский район
1-й Обыденский,пер,119034,Центральный административный округ,район Хамовники
1-й Ольховский,туп,105066,Центральный административный округ,Красносельский район
1-й Очаковский,пер,119361,Западный административный округ,район Очаково-Матвеевское
1-й Павелецкий,проезд,115114,Южный административный округ,Даниловский район
1-й Павловский,пер,115093,Южный административный округ,Даниловский район
1-й Пенягинский,проезд,143400,Северо-Западный административный округ,район Митино
1-й Петра Алексеева,пер,121471,Западный административный округ,Можайский район
1-й Пехотный,пер,123182,Северо-Западный административный округ,район Щукино
1-й Подбельского,проезд,107150,Восточный административный округ,район Богородское
1-й Полевой,пер,107014,Восточный административный округ,район Сокольники
1-й Поперечный,проезд,129223,Северо-Восточный административный округ,Останкинский район
1-й Раушский,пер,115035,Центральный административный округ,район Замоскворечье
1-й Рижский,пер,129626,Северо-Восточный административный округ,Алексеевский район
1-й Рощинский,проезд,,Южный административный округ,Донской район
1-й Самотёчный,пер,127473,Центральный административный округ,Тверской район
1-й Саратовский,проезд,109125,Юго-Восточный административный округ,район Текстильщики
1-й Сельскохозяйственный,проезд,129226,Северо-Восточный административный округ,район Ростокино
1-й Сетуньский,проезд,,Западный административный округ,район Раменки
1-й Силикатный,проезд,123007,Северо-Западный административный округ,район Хорошево-Мневники
1-й Смоленский,пер,121099,Центральный административный округ,район Арбат
1-й Спасоналивковский,пер,119049,Центральный административный округ,район Якиманка
1-й Стрелецкий,проезд,127018,Северо-Восточный административный округ,район Марьина роща
1-й Сыромятнический,пер,105120,Центральный административный округ,Басманный район
1-й Тверской-Ямской,пер,125047,Центральный административный округ,Тверской район
1-й Тихвинский,туп,127055,Центральный административный округ,Тверской район
1-й Троицкий,пер,129090,Центральный административный округ,Мещанский район
1-й Тружеников,пер,119121,Центральный административный округ,район Хамовники
